jurisdiction,2010,2014
"Riverside County, Calif.",74,624
"Clark County, Nev.",42,175
New York City Special Narcotics Bureau,90,155
"Los Angeles County, Calif.",206,129
U.S. District Court for Arizona,91,95
Florida State Attorney General,28,80
U.S. District Court for the Southern District of New York,42,69
Colorado State Attorney General,17,65
U.S. District Court for the Northern District of Illinois,73,62
U.S. District Court for the Western District of Texas,65,62
"Kings County, N.Y. (Brooklyn)",,61
U.S. District Court for Oregon,2,59
U.S. District Court for Colorado,18,50
"20th District Court, Tenn. (Davidson County)",33,47
U.S. Distirct Court for the Northern District of Georgia,65,40
U.S. District Court for the Southern District of California,8,37
"Baltimore, Md.",22,37
U.S. District Court for the Western District of Pennsylvania,3,36
U.S. District Court for the Eastern District of Missouri,20,33
U.S. District Court for the Western District of Missouri,26,32
U.S. District Court for the Northern District of Texas,31,32
"4th Judicial Circuit, Duval County, Fla.",37,31
"San Bernardino County, Calif.",116,30
U.S. District Court for the Middle District of Florida,21,29
U.S. District Court for Kansas,25,29
"Ventura County, Calif.",18,28
"Cook County, Ill.",23,28
"Western County, Okla.",,26
U.S. District Court for the Southern District of Texas,51,25
U.S. District Court for the Eastern District of Arkansas,3,24
"Fresno County, Calif.",,24
U.S. District Court for the Southern District of Florida,39,22
"Westchester County, N.Y.",1,22
Pennsylvania Attorney General,21,22
"Harford County, Md.",27,21
U.S. District Court for the Central District of California,61,20
"18th Judicial District, Arapahone, Colo.",1,20
"Somerset County, N.J.",16,20
U.S. District Court for the Southern District of Ohio,1,20
Philadelphia,,20
